Group,Parameter,India_Level,State_Level,District_Level,City_Level,Police_Station_Level,Coordinates_Level,Years_Available,Machine_Readable,Notes
I-Driver,Fatigue/Dangerous driving/Overtaking (Others),YES (bundled in 'Others'),NO,NO,YES (bundled in 'Others'),—,—,"2023, 2024",YES,Cannot be separated from 'Others' category
J-AccidentCause,Cause (MoRTH taxonomy),YES,NO,NO,YES (50 cities),—,—,"2023, 2024",YES,6 categories: Over-speeding/Drunk/Wrong-side/Red-light/Mobile/Others
J-AccidentCause,"Cause (NCRB taxonomy, broader)",YES,YES (NCRB PDF),NO,YES (NCRB PDF),—,—,2024,NO (PDF only),NCRB Table 1A.9 — broader categories include weather/mechanical
K-CollisionType,Type of collision,YES,NO,NO,NO,—,—,"2023, 2024",YES,9 categories: Hit&Run/Parked/Hit-Back/Hit-Side/Run-off/Fixed-object/Overturn/Head-on/Others
L-Safety,Helmet non-use,YES,NO,NO,NO,—,—,"2023, 2024",YES,Killed/Injured × Driver/Passenger
L-Safety,Seatbelt non-use,YES,NO,NO,NO,—,—,"2023, 2024",YES,Killed/Injured × Driver/Passenger
L-Safety,Child restraint/Airbag/Reflective clothing,NO,NO,NO,NO,—,—,—,NO,NOT PUBLISHED
M-Exposure,Population,YES,YES,YES (Census 2011),—,—,—,Census 2011 + projections,YES,Census 2021 NOT conducted; projections used
M-Exposure,Registered vehicles,YES,PARTIAL (VAHAN bulk not free),NO,—,—,—,2014-2022,YES (India total),VAHAN bulk state-wise not freely downloadable
M-Exposure,Road length,YES,—,—,—,—,—,2014-2022,YES,NA for 2023-24
M-Exposure,AADT/VKT/Passenger-km,NO,NO,NO,NO,—,—,—,NO,NOT PUBLISHED
N-PoliceEnforcement,Police jurisdiction,NO,NO,NO,YES (Bengaluru),YES (BTP),—,2018-2023,YES (BTP CSV),Bengaluru only
N-PoliceEnforcement,FIR classification,YES (NCRB),YES (NCRB PDF),NO,YES (NCRB PDF),NO,—,2024,NO (PDF),NCRB classifies as 'Traffic Accidents' vs 'Accidental Deaths'
N-PoliceEnforcement,Enforcement activity,NO,NO,NO,NO,—,—,—,NO,State police PDFs only; not standardised
O-CityData,50 cities accidents/killed/injured,—,—,—,YES (50),—,—,"2023, 2024",YES,MoRTH CSV
O-CityData,City fatalities by mode,—,—,—,YES (50 × 9 modes),—,—,2024,YES,MoRTH CSV 12
O-CityData,City fatalities by violation,—,—,—,YES (50 × 6 violations),—,—,2024,YES,MoRTH CSV 13
P-GISSpatial,Accident coordinates,NO,NO,NO,NO,NO,NO,—,NO,NOT PUBLIC — eDAR has coords but restricted
P-GISSpatial,Blackspot list (NH+km),YES,—,PARTIAL (Dataful),—,—,NO,2016-2022,PARTIAL,"13,795 blackspots; NH+km markers; NO coordinates"
P-GISSpatial,Blackspot coordinates,NO,NO,NO,NO,NO,NO,—,NO,"NOT PUBLIC — list exists, coords do not"
P-GISSpatial,Road network vector,YES (Bhuvan),—,—,—,—,—,current,YES (registration required),Bhuvan + OpenStreetMap
P-GISSpatial,District boundary vector,YES,—,YES (Census 2011),—,—,—,Census 2011,YES,Bhuvan; some newly-created districts missing
Q-HistoricalGeography,Telangana formation (2014),VERIFIED,VERIFIED,—,—,—,—,—,—,See GEOGRAPHY_CROSSWALK.csv
Q-HistoricalGeography,J&K reorganisation (2019),VERIFIED,VERIFIED,—,—,—,—,—,—,See GEOGRAPHY_CROSSWALK.csv
Q-HistoricalGeography,DN&H Daman&Diu merger (2020),VERIFIED,VERIFIED,—,—,—,—,—,—,See GEOGRAPHY_CROSSWALK.csv
