Dataset_ID,Filename,Local_Path,Source_ID,Acquired,Acquisition_Date,Rows,Columns,Variables,Missing_Values,Duplicates,Units,Categories,Years_Covered,Geography_Coverage,Granularity,File_Size_Bytes,Format,Cleaning_Required,Notes
DS-MORTH-2024-PDF-01,01_road_accidents_in_india_2024_main_report.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/01_road_accidents_in_india_2024_main_report.pdf,SRC-MORTH-AR-2024,YES,2026-09-22,266 pages,various,Full report — all tables + narrative + charts,varies,0,varies,various,2024 (with 2023 comparison),India + State + City,multi-level aggregate,21376701,PDF,not machine-readable — extract tables via PDF parsing for further detail,"21.4 MB. Source-of-truth for all 13 derived CSVs above. Contains grievous-vs-minor injured India totals, road-classification, road-feature, junction-type, hour-of-day (Chart 7.4) tables not in CSVs"
DS-MORTH-2023-PDF-01,01_morth_2023_main_report.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2023/01_morth_2023_main_report.pdf,SRC-MORTH-AR-2023,YES,2026-09-22,272 pages,various,Full 2023 report,varies,0,varies,various,2023 (with 2019-2023 trend),India + State + City,multi-level aggregate,8596105,PDF,—,8.6 MB. Use for cross-year trend verification; 2023 figures in this report match 2024 report's 2023 comparison columns
DS-MORTH-2023-CSV-set,02-13 MoRTH 2023 CSVs,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2023/,SRC-MORTH-AR-2023,YES,2026-09-22,varies,varies,"Annual totals, type-of-collision, type-of-violation, safety-device, fatality-by-road-user, victim×crime-vehicle, state×year, cities",—,0,counts + %,various,2019-2023,India + State + City,aggregate,—,12 CSVs,—,Same schema as 2024 report; used to verify 2023 column values in 2024 report
DS-NCRB-2024-PDF-01,01_ncrb_adsi_2024_full_report.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_ncrb_adsi_2024/01_ncrb_adsi_2024_full_report.pdf,SRC-NCRB-ADSI-2024,YES,2026-09-22,varies,various,Full ADSI 2024 report,varies,0,counts,various,2024 (with 2023 comparison),India + State + 19 cities,multi-level aggregate,34520662,PDF,extract tables via PDF parsing,"34.5 MB. Important: NCRB 2024 road-deaths figure (1,62,500) DIFFERS from MoRTH (1,77,175)"
DS-NCRB-2024-PDF-1A5-MONTH,06_ncrb_adsi_2024_table_1a5_monthwise.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_ncrb_adsi_2024/06_ncrb_adsi_2024_table_1a5_monthwise.pdf,SRC-NCRB-ADSI-2024,YES,2026-09-22,varies,various,Month-wise traffic accidents by State/UT & City,—,0,counts,12 months × states × cities,2024,India + State + 19 cities,state × month aggregate,1249490,PDF,extract table via PDF parsing,1.25 MB. The ONLY official Indian source of month-wise accident counts
DS-NCRB-2024-PDF-1A6-TIME,07_ncrb_adsi_2024_table_1a6_timewise.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_ncrb_adsi_2024/07_ncrb_adsi_2024_table_1a6_timewise.pdf,SRC-NCRB-ADSI-2024,YES,2026-09-22,varies,various,Time-wise (8 buckets of 3 hours) traffic accidents by State/UT & City,—,0,counts,8 time-buckets × states × cities,2024,India + State + 19 cities,state × time-bucket aggregate,869758,PDF,extract table via PDF parsing,870 KB. The ONLY official Indian source of time-of-day accident counts at state level
DS-NCRB-2024-PDF-1A7-ROAD,08_ncrb_adsi_2024_table_1a7_road_classification.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_ncrb_adsi_2024/08_ncrb_adsi_2024_table_1a7_road_classification.pdf,SRC-NCRB-ADSI-2024,YES,2026-09-22,varies,various,Road classification (NH/SH/Expressway/Other) by State/UT & City,—,0,counts,4 road classes × states × cities,2024,India + State + 19 cities,state × road-class aggregate,893523,PDF,extract table via PDF parsing,894 KB. NCRB publishes state × road-class (NH / SH / Expressway / Other Roads) for accidents + deaths + injured
DS-NCRB-2024-PDF-1A9-CAUSE,09_ncrb_adsi_2024_table_1a9_causewise.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_ncrb_adsi_2024/09_ncrb_adsi_2024_table_1a9_causewise.pdf,SRC-NCRB-ADSI-2024,YES,2026-09-22,varies,various,Cause-wise road accidents by State/UT & City,—,0,counts,NCRB cause categories × states × cities,2024,India + State + 19 cities,state × cause aggregate,1491495,PDF,extract table via PDF parsing,"1.49 MB. NCRB uses BROADER cause taxonomy than MoRTH (includes mechanical defect, weather, etc.)"
DS-NCRB-2024-PDF-12-AGEGENDER,10_ncrb_adsi_2024_table_12_age_gender.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_ncrb_adsi_2024/10_ncrb_adsi_2024_table_12_age_gender.pdf,SRC-NCRB-ADSI-2024,YES,2026-09-22,varies,various,Age & gender of persons killed in accidental deaths by State/UT & City,—,0,counts,age groups × gender × states × cities,2024,India + State + 19 cities,state × age-group × gender aggregate,467673,PDF,extract table; combine with 1A.4 (mode-of-transport) for road-specific age/gender,468 KB. NCRB Table 1.2 covers ALL accidental deaths (not just road) — must intersect with 1A.4 for road-only age/gender
DS-NCRB-2024-PDF-set-OTHER,"02,03,04,05,11 NCRB ADSI 2024 PDFs",/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_ncrb_adsi_2024/,SRC-NCRB-ADSI-2024,YES,2026-09-22,varies,various,"Ch1 Accidental Deaths, Ch1A Traffic Accidents, Table 1A.2, 1A.4 (mode-of-transport deaths), Table 1.3 (state/UT/city)",—,0,counts,various,2024,India + State + 19 cities,multi-level aggregate,aggregated ~6 MB,PDF,extract tables,5 additional NCRB 2024 PDFs covering chapter-level content
DS-BTP-2018-2020,01_btp_stationwise_2018_2020.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/bengaluru_BTP/01_btp_stationwise_2018_2020.csv,SRC-BTP-STATIONWISE,YES,2026-09-22,45,17,"Zone, Station, 2018/2019/2020 × (Fatal, Killed, Non-Fatal, Injured, Total Cases)",0,0,counts,zones × stations,"2018, 2019, 2020",Bengaluru city,station × year aggregate,3060,CSV,strip trailing space in '2020 - Fatal ' column header,Bengaluru traffic police station-wise accidents. Zone: East/North/South/West/Central
DS-BTP-2020-2022,02_btp_stationwise_2020_2022.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/bengaluru_BTP/02_btp_stationwise_2020_2022.csv,SRC-BTP-STATIONWISE,YES,2026-09-22,45,11,"Zone, Station, 2021/2022 × (Fatal, Killed, Non-Fatal, Injured, Total Cases)",0,0,counts,zones × stations,"2021, 2022",Bengaluru city,station × year aggregate,2251,CSV,—,BTP station-wise for 2021-2022
DS-BTP-2023,03_btp_stationwise_2023.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/bengaluru_BTP/03_btp_stationwise_2023.csv,SRC-BTP-STATIONWISE,YES,2026-09-22,64,7,"Zone, Sub-division, Station, 2023 × (Fatal Cases, Killed People, Non-Fatal, Injured People, Total Cases)",0,0,counts,zones × sub-divisions × stations,2023,Bengaluru city,station × year aggregate,2651,CSV,"file contains interspersed sub-division Total rows (e.g. 'East Total,East Total,53,54,284,274,337') — must filter",2023 file added 'Sub-division' column. Sum of station-level killed (excluding total rows) = 910 vs MoRTH city figure 915 — diff of 5 likely from interspersed total rows
DS-TN-DISTRICTWISE-2021-23,01_tn_district_wise_2021_23.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/tamil_nadu_district/01_tn_district_wise_2021_23.csv,SRC-TN-DISTRICTWISE,YES,2026-09-22,39,8,"Sl No, District, Total Accidents/Deaths 2021/2022/2023",MYILADUTHURAI 2021 = NA (district formed in 2020; data not collected in 2021),0,counts,38 districts,"2021, 2022, 2023",Tamil Nadu,district × year aggregate,1729,CSV,strip BOM; handle NA values,"VERIFIED: sum of 38 districts for 2023 = 67,213 accidents / 18,347 deaths — EXACTLY matches MoRTH TN state total"
DS-TN-ANALYSIS-2023-PDF,02_tn_analysis_2023.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/tamil_nadu_district/02_tn_analysis_2023.pdf,SRC-TN-DISTRICTWISE,YES,2026-09-22,varies,various,Full Tamil Nadu Road Accidents Analysis 2023 report,—,0,counts,various,2023,Tamil Nadu (state + district + city),multi-level aggregate,1984657,PDF,—,Source-of-truth PDF for the district-wise CSV above
DS-KA-2024,01_karnataka_road_accidents_2024.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/karnataka_state/01_karnataka_road_accidents_2024.pdf,SRC-KARNATAKA-STATE-REPORT,YES,2026-09-22,varies,various,Karnataka state road accident report 2024,—,0,counts,various,2024,Karnataka (state + district),multi-level aggregate,5011756,PDF,extract district-wise tables,—
DS-KA-2023,02_karnataka_road_accidents_2023.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/karnataka_state/02_karnataka_road_accidents_2023.pdf,SRC-KARNATAKA-STATE-REPORT,YES,2026-09-22,varies,various,Karnataka state road accident report 2023,—,0,counts,various,2023,Karnataka (state + district),multi-level aggregate,4522893,PDF,—,—
DS-MORTH-HIST-2018-2022,01_morth_2018_2022.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/historical_morth/01_morth_2018_2022.csv,SRC-MORTH-AR-2018-2022,YES,2026-09-22,5,7,"Year, Accidents, % Change, Fatalities, % Change, Persons injured, % Change",0,0,counts + %,years 2018-2022,2018-2022,India total,annual national aggregate,394,CSV,parse Indian comma-style integers; strip BOM,VERIFIED: 2020-2022 values EXACTLY match 2024 report's overlapping years
DS-MORTH-MODE-2022,02_morth_mode_of_transport_2022.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/historical_morth/02_morth_mode_of_transport_2022.csv,SRC-MORTH-AR-2018-2022,YES,2026-09-22,20,4,"Category, 2021 Deaths, 2022 Deaths, % Change",0,0,counts + %,9 road-user modes,"2021, 2022",India total,aggregate,746,CSV,separate 'share in Total' rows,"9 mode categories. 2022 total = 1,68,491 (matches MoRTH 2024 report's 2022 killed)"
DS-MORTH-HIST-PDF-2022,03_morth_india_2022_report.pdf,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/historical_morth/03_morth_india_2022_report.pdf,SRC-MORTH-AR-2018-2022,YES,2026-09-22,varies,various,Full 2022 report,—,0,various,various,2022,India + State + City,multi-level aggregate,38952542,PDF,—,—
DS-IMD-GRIDDED-RAIN-NETCDF,LND-{year}.nc (per-year NetCDF files),NOT ACQUIRED — server timed out from this network; URL verified across 3 academic references,SRC-IMD-GRIDDED-RAIN-025,NO,2026-09-22 (URL verified),135 × 135 grid × 365 days per year file,rainfall (mm),Daily gridded rainfall,—,—,mm/day,0.25° × 0.25° grid,1901-2024,India,gridded daily,—,NetCDF,—,VERIFIED exists at https://www.imdpune.gov.in/Clim_Pred_LRF_New/Grided_Data_Download.html — requires Python xarray / R raster to read
DS-IMD-DSP-PAID,varies (per-purchase CSV),NOT ACQUIRED — paywall,SRC-IMD-DSP,NO,—,—,varies,station × hour/day weather,—,—,°C / % / m·s⁻¹ / km,varies,historical + current,~400 observatories + ~700 AWS stations,station × time,—,CSV (paid),—,Paid portal at https://dsp.imdpune.gov.in — requires account + per-variable fee. NOT ACQUIRED
DS-MORTH-BLACKSPOT-NH,varies (PDF reference + Dataful.in CSV mirror),NOT ACQUIRED — coordinates NOT public,SRC-MORTH-BS-NH,NO,2026-09-22 (URL discovered),"13,795 blackspots","NH number, km marker, district, state",Blackspot identifier + NH+km marker (NO coordinates),—,—,text + identifier,per-stretch,2016-2022,National Highways across India,road-segment,—,PDF / CSV (Dataful.in mirror requires account),—,"13,795 blackspots on NHs; 5,036 long-term rectified. Coordinates NOT released publicly. Methodology: 500m stretch, ≥5 fatal accidents in 3 yrs (IRC:131-2022)"
DS-eDAR-iRAD,not public,NOT ACQUIRED — restricted portal,SRC-MORTH-eDAR,NO,—,per-accident records (pilot states only),"accident ID, FIR, date, time, location, coordinates, vehicles, drivers, causes, severity, road attributes",full per-accident microdata,—,—,mixed,various,2020 onward,Selected pilot states / NH stretches,per-accident record,—,web portal (no public export),—,Available at https://irad.parivahan.gov.in — access restricted to police & highway authorities. The richest Indian accident dataset but NOT usable for open research
