Dataset_ID,Source_ID,Filename,Acquired,Format,Machine_Readable,Validated_Totals_Match,PDF_Extraction_Required,Join_Ready,Analysis_Ready_Status,Blocking_Issues,Notes
DS-MORTH-2024-CSV-12,SRC-MORTH-AR-2024,12_road_accidents_2024_cities_fatalities_mode.csv,YES,CSV,YES,YES,NO,SAFE,READY,—,"Total killed across 50 cities = 17,187 (matches within rounding)"
DS-MORTH-2024-CSV-13,SRC-MORTH-AR-2024,13_road_accidents_2024_cities_fatalities_traffic_violation.csv,YES,CSV,YES,PARTIAL,NO,SAFE,READY_WITH_CLEANING,Internal off-by-1 in MoRTH published Total cell (use column sums),"Total killed across 50 cities by violation = 17,187 (matches)"
DS-MORTH-2024-CSV-14,SRC-MORTH-AR-2024,14_road_accidents_registrations_density_2014_24.csv,YES,CSV,YES,PARTIAL,NO,SAFE,READY,—,2024: 488 thousand accidents / 177 thousand deaths / 471 thousand injured. Vehicle density rose 35.3 (2014) → 53.7 (2022) vehicles/km. Provisional road length for 2021-2022
DS-MORTH-2024-PDF-01,SRC-MORTH-AR-2024,01_road_accidents_in_india_2024_main_report.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,"21.4 MB. Source-of-truth for all 13 derived CSVs above. Contains grievous-vs-minor injured India totals, road-classification, road-feature, junction-type, hour-of-day (Chart 7.4) tables not in CSVs"
DS-MORTH-2023-PDF-01,SRC-MORTH-AR-2023,01_morth_2023_main_report.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,8.6 MB. Use for cross-year trend verification; 2023 figures in this report match 2024 report's 2023 comparison columns
DS-MORTH-2023-CSV-set,SRC-MORTH-AR-2023,02-13 MoRTH 2023 CSVs,YES,12 CSVs,YES,YES,NO,SAFE,READY,—,Same schema as 2024 report; used to verify 2023 column values in 2024 report
DS-NCRB-2024-PDF-01,SRC-NCRB-ADSI-2024,01_ncrb_adsi_2024_full_report.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,"34.5 MB. Important: NCRB 2024 road-deaths figure (1,62,500) DIFFERS from MoRTH (1,77,175)"
DS-NCRB-2024-PDF-1A5-MONTH,SRC-NCRB-ADSI-2024,06_ncrb_adsi_2024_table_1a5_monthwise.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,1.25 MB. The ONLY official Indian source of month-wise accident counts
DS-NCRB-2024-PDF-1A6-TIME,SRC-NCRB-ADSI-2024,07_ncrb_adsi_2024_table_1a6_timewise.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,870 KB. The ONLY official Indian source of time-of-day accident counts at state level
DS-NCRB-2024-PDF-1A7-ROAD,SRC-NCRB-ADSI-2024,08_ncrb_adsi_2024_table_1a7_road_classification.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,894 KB. NCRB publishes state × road-class (NH / SH / Expressway / Other Roads) for accidents + deaths + injured
DS-NCRB-2024-PDF-1A9-CAUSE,SRC-NCRB-ADSI-2024,09_ncrb_adsi_2024_table_1a9_causewise.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,"1.49 MB. NCRB uses BROADER cause taxonomy than MoRTH (includes mechanical defect, weather, etc.)"
DS-NCRB-2024-PDF-12-AGEGENDER,SRC-NCRB-ADSI-2024,10_ncrb_adsi_2024_table_12_age_gender.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,468 KB. NCRB Table 1.2 covers ALL accidental deaths (not just road) — must intersect with 1A.4 for road-only age/gender
DS-NCRB-2024-PDF-set-OTHER,SRC-NCRB-ADSI-2024,"02,03,04,05,11 NCRB ADSI 2024 PDFs",YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,5 additional NCRB 2024 PDFs covering chapter-level content
DS-BTP-2018-2020,SRC-BTP-STATIONWISE,01_btp_stationwise_2018_2020.csv,YES,CSV,YES,PARTIAL,NO,SAFE,READY,—,Bengaluru traffic police station-wise accidents. Zone: East/North/South/West/Central
DS-BTP-2020-2022,SRC-BTP-STATIONWISE,02_btp_stationwise_2020_2022.csv,YES,CSV,YES,PARTIAL,NO,SAFE,READY,—,BTP station-wise for 2021-2022
DS-BTP-2023,SRC-BTP-STATIONWISE,03_btp_stationwise_2023.csv,YES,CSV,YES,PARTIAL,NO,SAFE,READY_WITH_CLEANING,Sub-division Total rows must be filtered (CL-09),2023 file added 'Sub-division' column. Sum of station-level killed (excluding total rows) = 910 vs MoRTH city figure 915 — diff of 5 likely from interspersed total rows
DS-TN-DISTRICTWISE-2021-23,SRC-TN-DISTRICTWISE,01_tn_district_wise_2021_23.csv,YES,CSV,YES,YES,NO,SAFE,READY,—,"VERIFIED: sum of 38 districts for 2023 = 67,213 accidents / 18,347 deaths — EXACTLY matches MoRTH TN state total"
DS-TN-ANALYSIS-2023-PDF,SRC-TN-DISTRICTWISE,02_tn_analysis_2023.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,Source-of-truth PDF for the district-wise CSV above
DS-KA-2024,SRC-KARNATAKA-STATE-REPORT,01_karnataka_road_accidents_2024.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,—
DS-KA-2023,SRC-KARNATAKA-STATE-REPORT,02_karnataka_road_accidents_2023.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,—
DS-MORTH-HIST-2018-2022,SRC-MORTH-AR-2018-2022,01_morth_2018_2022.csv,YES,CSV,YES,YES,NO,SAFE,READY,—,VERIFIED: 2020-2022 values EXACTLY match 2024 report's overlapping years
DS-MORTH-MODE-2022,SRC-MORTH-AR-2018-2022,02_morth_mode_of_transport_2022.csv,YES,CSV,YES,PARTIAL,NO,SAFE,READY,—,"9 mode categories. 2022 total = 1,68,491 (matches MoRTH 2024 report's 2022 killed)"
DS-MORTH-HIST-PDF-2022,SRC-MORTH-AR-2018-2022,03_morth_india_2022_report.pdf,YES,PDF,NO,PARTIAL,YES,BLOCKED,NOT_READY,PDF only — needs extraction | PDF tables not extracted to CSV,—
DS-IMD-GRIDDED-RAIN-NETCDF,SRC-IMD-GRIDDED-RAIN-025,LND-{year}.nc (per-year NetCDF files),NO,NetCDF,NO,N/A,NO,BLOCKED,NOT_READY,Not acquired,VERIFIED exists at https://www.imdpune.gov.in/Clim_Pred_LRF_New/Grided_Data_Download.html — requires Python xarray / R raster to read
DS-IMD-DSP-PAID,SRC-IMD-DSP,varies (per-purchase CSV),NO,CSV (paid),YES,N/A,NO,BLOCKED,NOT_READY,Not acquired,Paid portal at https://dsp.imdpune.gov.in — requires account + per-variable fee. NOT ACQUIRED
DS-MORTH-BLACKSPOT-NH,SRC-MORTH-BS-NH,varies (PDF reference + Dataful.in CSV mirror),NO,PDF / CSV (Dataful.in mirror requires account),YES,N/A,NO,BLOCKED,NOT_READY,Not acquired,"13,795 blackspots on NHs; 5,036 long-term rectified. Coordinates NOT released publicly. Methodology: 500m stretch, ≥5 fatal accidents in 3 yrs (IRC:131-2022)"
DS-eDAR-iRAD,SRC-MORTH-eDAR,not public,NO,web portal (no public export),NO,N/A,NO,BLOCKED,NOT_READY,Not acquired,Available at https://irad.parivahan.gov.in — access restricted to police & highway authorities. The richest Indian accident dataset but NOT usable for open research
