Parameter_ID,Parameter,Group,Original_Verification,Original_Availability,Audit_Corrected_Verification,Audit_Corrected_Availability,Supporting_Dataset_Acquired,Supporting_Dataset_Machine_Readable,Audit_Notes,Final_Status_for_Analysis
F-05,Maximum Temperature (°C),F-WeatherEnvironment,PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  (gridded 1° free)  +  AVAILABLE — SELECTED LOCATIONS  (station via DSP paid),PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  (gridded 1° free)  +  AVAILABLE — SELECTED LOCATIONS  (station via DSP paid),NO,NO,1° grid is too coarse for district-level attribution. Station-level max-temp requires IMD DSP paid portal (dsp.imdpune.gov.in),NOT_ACQUIRED
F-06,Minimum Temperature (°C),F-WeatherEnvironment,PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  +  AVAILABLE — SELECTED LOCATIONS,PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  +  AVAILABLE — SELECTED LOCATIONS,NO,NO,Same as F-05,NOT_ACQUIRED
F-07,Relative Humidity (%),F-WeatherEnvironment,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,NO,NO,Station network uneven; bulk historical requires IMD DSP paid access,NOT_ACQUIRED
F-08,Visibility (km),F-WeatherEnvironment,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS  (via IMD DSP paid),PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS  (via IMD DSP paid),NO,NO,Not bulk-downloadable for free. CPCB AQI sometimes includes visibility proxy via PM2.5,NOT_ACQUIRED
F-09,Wind speed (m/s) and direction,F-WeatherEnvironment,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS  (paid),PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS  (paid),NO,NO,Paid IMD DSP access,NOT_ACQUIRED
F-10,Fog / Haze / Mist occurrence,F-WeatherEnvironment,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,NO,NO,Not freely bulk-downloadable,NOT_ACQUIRED
F-11,Extreme weather event (cyclone / flood / dust storm / heatwave),F-WeatherEnvironment,PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  (PDF bulletins),PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  (PDF bulletins),NO,NO,"Bulletins are PDF; affected-district list is per-event, not structured",NOT_ACQUIRED
F-12,Air Quality (PM2.5) — proxy for haze/visibility,F-WeatherEnvironment,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,NO_DATASET_ENTRY,NO,"Coverage uneven. Use as proxy for visibility/haze, not direct weather condition",REVIEW_NEEDED
G-01,National Highway / State Highway / Expressway / Other Road,G-Road,PARTIALLY VERIFIED (PDF only),AVAILABLE — STATE LEVEL  (NCRB PDF)  +  INDIA LEVEL  (MoRTH PDF),PARTIALLY VERIFIED (PDF only),AVAILABLE — STATE LEVEL  (NCRB PDF)  +  INDIA LEVEL  (MoRTH PDF),YES,YES,NCRB Table 1A.7 has state×road-class but only PDF. MoRTH ch5 has India total + state totals by road category in PDF,REVIEW_NEEDED
G-02,Road length (km),G-Road,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,NA for 2023-2024 (no published update),READY_FOR_ANALYSIS
G-03,Road surface (paved / unpaved),G-Road,PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  (PDF only),PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  (PDF only),YES,YES,Only India total; not state-wise; PDF only,REVIEW_NEEDED
G-04,Road feature (straight / curve / bridge / culvert / grade / junction / T / Y / cross / signal / stop sign / no control),G-Road,PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL  (PDF only),PARTIALLY VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL  (PDF only),YES,YES,Junction type and road feature are in MoRTH ch6 PDF; NCRB has road classification only. Not machine-readable,REVIEW_NEEDED
G-05,Road width / Number of lanes / Median / Shoulder / Lighting,G-Road,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,MoRTH does NOT publish per-accident road geometry attributes. NHAI maintains road inventory but it is not public per-segment,REVIEW_NEEDED
G-06,Construction / maintenance status,G-Road,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,Not published,REVIEW_NEEDED
H-01,Vehicle type involved (Two-wheeler / 3W / Car / LMV / Bus / Truck / Bicycle / Pedestrian / E-rickshaw / Other),H-Vehicle,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,"9 vehicle classes per MoRTH taxonomy. Victim×Crime vehicle matrix is published only at India level, not state-wise",READY_FOR_ANALYSIS
H-02,Registered vehicles (exposure),H-Vehicle,VERIFIED for 2014-2022; NA for 2023-2024,AVAILABLE — INDIA LEVEL,VERIFIED for 2014-2022; NA for 2023-2024,AVAILABLE — INDIA LEVEL,YES,YES,"MoRTH publishes total registered vehicles only at India level in registration CSV. State-wise registered-vehicle counts via VAHAN at vahan.parivahan.gov.in (form-based, not bulk)",READY_FOR_ANALYSIS
H-03,Number of vehicles involved per accident,H-Vehicle,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,Published via collision-type categories (single-vehicle rollover = 1 vehicle; head-on/rear-end = 2+ vehicles). Exact count per accident NOT published,READY_FOR_ANALYSIS
H-04,Vehicle age / registration age / defect / manoeuvre / overloading,H-Vehicle,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,"NOT FOUND AFTER DEEP RESEARCH (eDAR has it, restricted)",REQUIRES FUTURE DATA ACQUISITION,NO_SOURCE_MATCH,NO,"MoRTH does NOT publish per-accident vehicle age, defect, manoeuvre, or overloading data. eDAR-iRAD may collect these but is not public",NOT_AVAILABLE
I-01,Driver licence status (Valid / Learner / Without valid / Not known),I-Driver,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,Only India-level; not state-wise. Sansad unstarred Q (10 Dec 2025) confirms state-wise licence-involvement was published for one question — single year only,READY_FOR_ANALYSIS
I-02,Driver age / gender,I-Driver,PARTIALLY VERIFIED,AVAILABLE — STATE LEVEL  (PDF only),DERIVABLE — requires intersection of NCRB Tables 1.2 × 1A.4,DERIVABLE (after PDF extraction + intersection),YES,NO/PDF,"NCRB publishes age & gender of persons killed in accidental deaths (Table 1.2) — but it is for ALL accidental deaths, not road-accident-only. Road-specific age/gender must be derived by combining with",DERIVABLE_AFTER_EXTRACTION
I-03,Driver experience,I-Driver,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT FOUND AFTER DEEP RESEARCH (not collected by any agency),NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,Not published by any agency,NOT_AVAILABLE
I-04,Alcohol / Drug involvement (drunk driving),I-Driver,VERIFIED,"AVAILABLE — INDIA LEVEL  +  CITY LEVEL  (50 cities, via CSV 13)",VERIFIED,"AVAILABLE — INDIA LEVEL  +  CITY LEVEL  (50 cities, via CSV 13)",YES,YES,State-wise drunk-driving counts NOT published. Only India + 50 cities,READY_FOR_ANALYSIS
I-05,Mobile phone use while driving,I-Driver,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,YES,YES,State-wise NOT published,READY_FOR_ANALYSIS
I-06,Overspeeding,I-Driver,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,YES,YES,State-wise NOT published. Overspeeding is the dominant cause (70.28% of all 2024 fatalities),READY_FOR_ANALYSIS
I-07,Wrong-side driving / Lane indiscipline,I-Driver,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,YES,YES,State-wise NOT published,READY_FOR_ANALYSIS
I-08,Jumping red light,I-Driver,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,YES,YES,—,READY_FOR_ANALYSIS
I-09,Fatigue / Distraction (other than mobile) / Dangerous driving / Overtaking,I-Driver,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL  (bundled in 'Others'),VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL  (bundled in 'Others'),YES,YES,Cannot separate fatigue from other behaviours — MoRTH bundles them as 'Others',READY_FOR_ANALYSIS
J-01,Cause categories (per MoRTH 2024: Over-speeding / Drunken driving / Wrong side / Red light / Mobile / Others),J-AccidentCause,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL  +  CITY LEVEL,YES,YES,6 cause categories only. State-wise cause NOT published. NCRB publishes 'cause-wise' as PDF table 1A.9 with broader categories,READY_FOR_ANALYSIS
J-02,"NCRB cause categories (broader, includes weather, mechanical defect, etc.)",J-AccidentCause,PARTIALLY VERIFIED,AVAILABLE — STATE LEVEL  (PDF only),PARTIALLY VERIFIED,AVAILABLE — STATE LEVEL  (PDF only),YES,NO/PDF,"PDF only, not machine-readable. NCRB uses different cause taxonomy than MoRTH",REQUIRES_PDF_EXTRACTION
K-01,Type of Collision (Hit-Run / Parked / Rear-end / Side / Run-off / Fixed object / Overturn / Head-on / Others),K-CollisionType,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,India only; not state-wise or city-wise. 9 categories,READY_FOR_ANALYSIS
L-01,"Helmet non-use (killed / injured, drivers / passengers)",L-Safety,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,India only. State-wise NOT published. Reports persons killed/injured specifically because helmet was NOT used,READY_FOR_ANALYSIS
L-02,"Seatbelt non-use (killed / injured, drivers / passengers)",L-Safety,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,India only. State-wise NOT published,READY_FOR_ANALYSIS
L-03,Child restraint / Airbag / Reflective clothing / Other safety equipment,L-Safety,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,Not published by any agency,REVIEW_NEEDED
M-01,Population,M-Exposure,VERIFIED (2011),AVAILABLE — INDIA LEVEL  +  STATE LEVEL  +  DISTRICT LEVEL  (2011),PARTIALLY VERIFIED (Census existence public knowledge; CSV not downloaded),AVAILABLE — INDIA LEVEL + STATE LEVEL + DISTRICT LEVEL (2011; via Census website; projections for 2012-2026),NO_SOURCE_MATCH,NO,"Post-2011 figures are projections, not Census. Census 2021 was NOT conducted",REVIEW_NEEDED
M-02,Registered vehicles (exposure),M-Exposure,VERIFIED for 2014-2022; NA for 2023-2024,AVAILABLE — INDIA LEVEL,VERIFIED for 2014-2022; NA for 2023-2024,AVAILABLE — INDIA LEVEL,YES,YES,State-wise registered-vehicle counts require VAHAN bulk download (not public),READY_FOR_ANALYSIS
M-03,Road length (exposure),M-Exposure,VERIFIED for 2014-2022; NA for 2023-2024,AVAILABLE — INDIA LEVEL,VERIFIED for 2014-2022; NA for 2023-2024,AVAILABLE — INDIA LEVEL,YES,YES,—,READY_FOR_ANALYSIS
M-04,Vehicle density (vehicles per km of road),M-Exposure,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,NA for 2023-2024,READY_FOR_ANALYSIS
M-05,"Death rate per 10,000 vehicles",M-Exposure,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,"NA for 2023-2024; denominator is registered vehicles, NOT vehicle-km travelled",READY_FOR_ANALYSIS
M-06,Traffic volume (AADT) / Vehicle-km travelled / Passenger-km,M-Exposure,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,"No Indian agency publishes AADT, VKT, or passenger-km at scale. NHAI has toll-plaza traffic data but not bulk-downloadable",REVIEW_NEEDED
N-01,Police jurisdiction,N-PoliceEnforcement,VERIFIED,AVAILABLE — SELECTED LOCATIONS  (Bengaluru),VERIFIED,AVAILABLE — SELECTED LOCATIONS  (Bengaluru),YES,YES,No all-India station-wise accident data,READY_FOR_ANALYSIS
N-02,FIR classification (criminal vs traffic),N-PoliceEnforcement,PARTIALLY VERIFIED,AVAILABLE — STATE LEVEL  (PDF only),PARTIALLY VERIFIED,AVAILABLE — STATE LEVEL  (PDF only),YES,NO/PDF,NCRB classifies accidents as 'Traffic Accidents' (1A.x) vs 'Accidental Deaths' (1.x) — narrower scope than MoRTH,REQUIRES_PDF_EXTRACTION
N-03,Enforcement activity (speed/helmet/seatbelt/checkpoints),N-PoliceEnforcement,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,State Police publish annual reports with enforcement counts but only PDF; not machine-readable; not all-India consistent,REVIEW_NEEDED
O-01,50 Million-plus cities — accidents / killed / injured,O-CityData,VERIFIED,AVAILABLE — CITY LEVEL,VERIFIED,AVAILABLE — CITY LEVEL,YES,YES,50 cities only — not all Indian cities. Cities may span multiple districts,READY_FOR_ANALYSIS
O-02,City fatalities by road-user mode,O-CityData,VERIFIED,AVAILABLE — CITY LEVEL,VERIFIED,AVAILABLE — CITY LEVEL,YES,YES,—,READY_FOR_ANALYSIS
O-03,City fatalities by traffic violation,O-CityData,VERIFIED,AVAILABLE — CITY LEVEL,VERIFIED,AVAILABLE — CITY LEVEL,YES,YES,—,READY_FOR_ANALYSIS
P-01,Accident coordinates (lat/lon),P-GISSpatial,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT FOUND AFTER DEEP RESEARCH (coordinates never released publicly),NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,No public per-accident coordinate dataset. eDAR-iRAD portal has coordinates but access is restricted,NOT_AVAILABLE
